event_id,user_id,timestamp,event_type,device,location,amount,status,session_id,device_is_null,location_is_null,amount_is_null,status_is_null
EVT1269,USR6641,2026-04-08 12:32:42,purchase,tablet,Mumbai,4223,,SES9524,0,0,0,1
EVT1270,USR3192,2026-04-08 12:32:43,view,mobile,Bangalore,3042,failed,SES3149,0,0,0,0
EVT1271,USR9267,2027-04-08 12:28:13,click,mobile,Delhi,406,success,SES2771,0,0,0,0
EVT1272,USR2897,2027-04-08 12:28:13,error,mobile,Hyderabad,4583,SUCCESS,SES2654,0,0,0,0
EVT1273,USR3247,2026-04-08 12:32:46,login,,Bangalore,4290, ,SES4272,1,0,0,0
EVT1274,USR4304,2026-04-08 12:32:47,view,tablet,Bangalore,-255,success,SES1208,0,0,0,0
EVT1275,USR9095,2026-04-08 12:32:48,logout,,Hyderabad,-371,pending,SES8606,1,0,0,0
EVT1276,USR3862,invalid_date,login,mobile,Chennai,3050,failed,SES3793,0,0,0,0
EVT1277,USR5395,2026-04-08 12:32:50,purchase,,Pune,2907,SUCCESS,SES7909,1,0,0,0
EVT1278,USR2852,2026-04-08 12:32:51,click,,Bangalore,1405, ,SES7221,1,0,0,0
EVT1279,USR3140,2026-04-08 12:32:52,login,,,3469,,SES4669,1,1,0,1
EVT1280,USR6542,2026-04-08 12:32:53,error,,Bangalore,880, ,SES1894,1,0,0,0
EVT1281,USR3571,invalid_date,logout,tablet,Hyderabad,4161,success,SES9305,0,0,0,0
EVT1282,USR7607,2026-04-08 12:32:55,view,tablet,Chennai,3738,SUCCESS,SES1291,0,0,0,0
EVT1283,USR7607,2026-04-08 12:32:56,view,tablet,Hyderabad,2595,success,SES4652,0,0,0,0
EVT1284,USR8751,2026-04-08 12:32:57,purchase,tablet,,3807,,SES5783,0,1,0,1
EVT1285,USR8751,2026-04-08 12:32:58,purchase,,Bangalore,1250,failed,SES2978,1,0,0,0
EVT1286,USR8488,2026-04-08 12:32:59,error,,Chennai,2868,SUCCESS,SES8493,1,0,0,0
EVT1287,USR8488,2026-04-08 12:33:00,click,web,Pune,497, ,SES3845,0,0,0,0
EVT1288,USR7347,2026-04-08 12:33:01,error,web,Hyderabad,2736,SUCCESS,SES6617,0,0,0,0
EVT1289,USR3185,2026-04-08 12:33:02,error,,Pune,4296,failed,SES4291,1,0,0,0
EVT1290,USR6657,2026-04-08 12:33:03,login,tablet,Delhi,1556,SUCCESS,SES7839,0,0,0,0
EVT1291,USR9747,2026-04-08 12:33:04,error,mobile,Bangalore,abc,pending,SES3636,0,0,0,0
EVT1292,USR3399,2026-04-08 12:33:05,view,mobile,Delhi,2517,,SES4675,0,0,0,1
EVT1293,USR4892,2026-04-08 12:33:06,view,tablet,Delhi,abc,success,SES1212,0,0,0,0
EVT1294,USR8259,2026-04-08 12:33:07,error,web,Hyderabad,3112,SUCCESS,SES3906,0,0,0,0
EVT1295,USR3847,2027-04-08 12:28:13,click,tablet,Chennai,432,pending,SES8640,0,0,0,0
EVT1296,USR3518,2026-04-08 12:33:09,error,tablet,Delhi,2567,failed,SES4012,0,0,0,0
EVT1297,USR3611,2026-04-08 12:33:10,purchase,tablet,Hyderabad,853,failed,SES9691,0,0,0,0
EVT1298,USR1144,2026-04-08 12:33:11,login,tablet,Mumbai,2068,success,SES7322,0,0,0,0
EVT1299,USR1404,2026-04-08 12:33:12,purchase,web,Hyderabad,3171, ,SES2349,0,0,0,0
